Company Name,Industry,Symbol,Series,ISIN Code
Piramal Finance Ltd.,Financial Services,PIRAMALFIN,EQ,INE202B01038
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Tata Motors Ltd.,Capital Goods,TMCV,EQ,INE1TAE01010
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
